ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA,MACRO_CATEGORIA
26,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,VASO CON RUOTE,15.49,15.49,Altre Forniture,Altri Costi Fissi
27,IT04107060966_84v73,09247360960,22,2024-01-03,10542790968,NR,21.96,005-651206,TD01,Nexi Payments SpA,VIA ENRICO STENDHAL 30,,Cod.Comm. 022201545,0.0,0.0,Spese Amministrative,Altri Costi Fissi
28,IT04107060966_84v73,09247360960,22,2024-01-03,10542790968,NR,21.96,005-651206,TD01,Nexi Payments SpA,VIA ENRICO STENDHAL 30,1.0,Canone SmartPOS Mini con stampante - DICEMBRE  '23   TID:92430019,18.0,18.0,Spese Amministrative,Altri Costi Fissi
29,IT04157540966_3ek3x,09247360960,22,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL20 BRILLANTE RECOARO VAP,10.56,10.56,Food,Costi Variabili
30,IT04157540966_3ek3x,09247360960,22,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL20 BRILLANTE RECOARO VAP,10.56,10.56,Food,Costi Variabili
31,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food,Costi Variabili
32,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food,Costi Variabili
33,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food,Costi Variabili
34,IT07155170157_vqb04,09247360960,4,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,BAGUETTE 250 G CRF,2.16,0.72,Food,Costi Variabili
35,IT07155170157_vqb04,09247360960,10,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food,Costi Variabili
36,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,SACC RD TRASP 10PZ 70X110 C,4.18,2.09,Food,Costi Variabili
37,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SACC RD GIALLI 10PZ 70X110,2.09,2.09,Food,Costi Variabili
38,IT07155170157_vqb04,09247360960,4,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE CLAM AQ 500 ML,1.25,1.25,Food,Costi Variabili
39,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,PANNO MICROFIBRA 5PZ 30X30,2.7,2.7,Food,Costi Variabili
40,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Food,Costi Variabili
41,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,PANE HAMBURGER C/SESAMO CRF,2.48,1.24,Food,Costi Variabili
42,IT07155170157_vs6i0,09247360960,10,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,SALMONE AFFUM.DI SCOZIA 230,16.18,8.09,Food,Costi Variabili
43,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,SONGINO BUSTA GR.70 EURO1,2.88,0.96,Food,Costi Variabili
