SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01879020517A2024_bQ5i4,09247360960,10.0,2024-03-31,12508910960,KG,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",6.80,PanBriosc,68.0,10.0
IT01879020517A2024_bQ5i4,09247360960,10.0,2024-03-31,12508910960,PZ,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",75.00,TraMaBun,75.0,1.0
IT01879020517A2024_bQ5i4,09247360960,22.0,2024-03-31,12508910960,,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bQ5i4,09247360960,10.0,2024-03-31,12508910960,KG,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",9.50,PanBriosc,95.0,10.0
IT01879020517A2024_bQ5i4,09247360960,22.0,2024-03-31,12508910960,,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bQ5i4,09247360960,10.0,2024-03-31,12508910960,PZ,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",80.00,TraMaBun,80.0,1.0
IT01879020517A2024_bQ5i4,09247360960,4.0,2024-03-31,12508910960,KG,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",15.165,Focaccia,136.485,9.0
IT01879020517A2024_bQ5i4,09247360960,22.0,2024-03-31,12508910960,,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bQ5i4,09247360960,4.0,2024-03-31,12508910960,KG,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",12.525,Focaccia,112.725,9.0
IT01879020517A2024_bQ5i4,09247360960,10.0,2024-03-31,12508910960,KG,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",9.60,PanBriosc,96.0,10.0
IT01879020517A2024_bQ5i4,09247360960,22.0,2024-03-31,12508910960,,743.86,33,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bqJrW,09247360960,4.0,2024-03-04,12508910960,KG,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",2.34,Pane in cassetta 7F,21.06,9.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,PZ,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",64.00,TraMaBun,64.0,1.0
IT01879020517A2024_bqJrW,09247360960,22.0,2024-03-04,12508910960,,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,KG,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",8.00,PanBriosc,80.0,10.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,PZ,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",40.00,TraMaBun,40.0,1.0
IT01879020517A2024_bqJrW,09247360960,22.0,2024-03-04,12508910960,,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,KG,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",8.37,PanBriosc,83.7,10.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,PZ,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",69.00,TraMaBun,69.0,1.0
IT01879020517A2024_bqJrW,09247360960,22.0,2024-03-04,12508910960,,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,PZ,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",30.00,TraMaBun,30.0,1.0
IT01879020517A2024_bqJrW,09247360960,22.0,2024-03-04,12508910960,,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_bqJrW,09247360960,10.0,2024-03-04,12508910960,KG,578.47,27,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",6.00,PanBriosc,60.0,10.0
